Cong ID,Congregation Name,Number of Youth Male,Number of Youth Female,Number of Youth Nonbinary,Number of Youth Gender Non-Conforming,Number of Adult Male,Number of Adult Female,Number of Adult Nonbinary,Number of Adult Gender Non-Conforming,Number of MYLE participants,Number of the tAble participants,Doubles Requested,Kings Requested,Priority Incentive,Hotel Price Range,Hotel Location
7169,Peace Lutheran Church,2,,,,1,1,,,,,3,,Hotel location,$151-165 + tax,Superdome
16069,Peace Lutheran Church,2,3,,,1,3,,,,,3,2,Hotel location,$140-150 + tax,Downtown
14309,Peace Lutheran Church,3,3,,,,3,,,,,3,2,Hotel price,$140-150 + tax,Convention Center
7841,Peace Lutheran Church,2,3,,,1,2,,,,,3,5,Hotel location,$151-165 + tax,Superdome
12929,Peace Lutheran Church,2,3,,,1,2,,,,,4,1,Hotel location,$151-165 + tax,Downtown
1645,Peace Lutheran Church,8,1,,,1,3,,,,,4,2,Accompaniment experience,$151-165 + tax,Downtown
13159,Peace Lutheran Church,3,6,,1,3,5,,,2,6,5,,Accompaniment experience,$151-165 + tax,Convention Center
14508,Peace Lutheran Church,3,4,,,1,2,,,,,5,,Hotel location,,Downtown
16098,Peace Lutheran Church,12,14,,,1,3,,,,,8,2,Hotel location,$151-165 + tax,Downtown
13704,Peace Lutheran Church,30,56,,1,4,10,,2,,2,30,4,Hotel location,$166-185 + tax,Downtown
30221,People Of Hope,2,3,,2,2,2,,,,2,3,1,Hotel location,$166-185 + tax,Downtown
12983,Phinney Ridge Lutheran Church,4,2,,,1,1,,,,,2,2,Hotel location,$140-150 + tax,Downtown
20081,Pilgrim Lutheran Church,,,,,1,,,,,,,,,,
20050,Pilgrim Lutheran Church,3,3,,,1,,,,7,,1,2,Hotel location,$140-150 + tax,Superdome
6853,Pioneer Lake Lutheran Church,1,2,,,1,1,,,,,3,,Hotel location,$151-165 + tax,Downtown
5713,Pisgah Lutheran Church,3,7,,,1,3,,,,,4,2,Hotel price,$151-165 + tax,Downtown
31281,Pointe Of Grace,4,2,,,,2,,,8,,1,2,Hotel price,$140-150 + tax,Convention Center
16304,Prairie Lutheran Church,,4,,,,1,,,,,2,,Hotel location,$151-165 + tax,French Quarter
888,Prince Of Peace Lutheran Church,,1,,1,,2,,,,,,,,,
7190,Prince Of Peace Lutheran Church,1,,,,,1,,,,2,1,,,,
11296,Prince Of Peace Lutheran Church,2,3,,,2,1,,,,,2,2,Hotel location,$166-185 + tax,French Quarter
10781,Prince of Peace Lutheran Church,3,4,,1,2,3,,,,,2,3,Hotel location,$151-165 + tax,Superdome
16037,Prince of Peace Lutheran Church,3,5,,,,3,,,,,3,,Accompaniment experience,,Downtown
11929,Prince Of Peace Lutheran Church,3,5,,,,2,,,,,4,,Accompaniment experience,$151-165 + tax,French Quarter
4506,Prince of Peace Lutheran Church,2,1,,,1,2,,,,,4,2,Hotel location,$140-150 + tax,Downtown
7725,Prince Of Peace Lutheran Church,7,7,,,1,2,,,,,4,2,Hotel price,$151-165 + tax,Downtown
3757,Prince Of Peace Lutheran Church,2,6,,,1,4,,,,3,5,,Accompaniment experience,$166-185 + tax,Downtown
11298,Prince Of Peace Lutheran Church,3,4,,1,2,2,,,,,5,,Hotel location,$166-185 + tax,Downtown
4689,Prince Of Peace Lutheran Church,11,17,,,2,6,,,,,10,5,Hotel location,$166-185 + tax,Downtown
11292,Providence Lutheran Church,4,2,,,,2,,,,,,,,,
5730,Redeemer Lutheran Church,2,6,,,2,3,,,,13,,,,,
11203,Redeemer Lutheran Church,4,2,,,1,2,,,,,,,,,
3789,Redeemer Lutheran Church,1,2,,,1,2,,,,,2,,Hotel location,$166-185 + tax,Downtown
20060,Redeemer Lutheran Church,1,3,,,1,1,,,,,2,2,Accompaniment experience,$151-165 + tax,French Quarter
10520,Redeemer Lutheran Church,3,5,,,1,2,,,,,2,2,Hotel location,$166-185 + tax,Downtown
13139,Redeemer Lutheran Church,3,2,,,1,1,,,,,2,2,Hotel location,$140-150 + tax,Downtown
13397,Redeemer Lutheran Church,3,4,,,1,2,,,,,2,2,Hotel location,$166-185 + tax,Convention Center
11001,Redeemer Lutheran Church,1,4,,1,,2,,,,,4,,Accompaniment experience,$151-165 + tax,Superdome
6926,Redeemer Lutheran Church,4,6,,,2,2,,,,,4,2,Accompaniment experience,$151-165 + tax,Downtown
11970,Redeemer Lutheran Church,3,9,,,1,3,,,,,5,,,,
5623,Redeemer Lutheran Church,5,11,,,1,3,,,,,5,2,Accompaniment experience,$151-165 + tax,Downtown
2494,Redeemer Lutheran Church,6,9,,,,3,,,,,7,1,Hotel location,$151-165 + tax,Downtown
452,Reformation Evangelical Lutheran Church,4,2,,,,1,,,,,2,2,Hotel price,$140-150 + tax,Downtown
1659,Reformation Lutheran Church,3,2,,,1,2,,,,,,,,,
781,Reformation Lutheran Church,,5,,,1,1,,,,,1,2,Accompaniment experience,$151-165 + tax,Convention Center
6122,Reformation Lutheran Church,2,5,,,2,2,,,,,5,,Accompaniment experience,$166-185 + tax,Downtown
3294,Rejoice Lutheran Church,3,2,,,3,2,,,,,,,,,
30352,Rejoice Lutheran Church,3,2,,,2,1,,,,,4,,Hotel location,$166-185 + tax,Superdome
30083,Rejoice Lutheran Church,7,7,,,1,1,,,,,4,2,Accompaniment experience,$166-185 + tax,Superdome
3839,Resurrection Lutheran Church,,,,,,1,,,1,,,,,,
10254,Resurrection Lutheran Church,1,2,,,1,1,,,,,1,3,Hotel price,$151-165 + tax,Downtown
1649,Resurrection Lutheran Church,2,3,,,1,1,,,,,2,,Hotel location,$166-185 + tax,Downtown
2235,Resurrection Lutheran Church,4,,,,1,2,,,,,3,1,Hotel location,$151-165 + tax,French Quarter
7722,Resurrection Lutheran Church,4,6,,,1,2,,,,,3,2,Hotel location,$166-185 + tax,French Quarter
7379,Resurrection Lutheran Church,5,6,,,1,1,,,,,4,1,Accompaniment experience,$151-165 + tax,Superdome
7796,Resurrection Lutheran Church,2,2,,,2,2,,,,,6,,Accompaniment experience,$151-165 + tax,French Quarter
4001,Resurrection Lutheran Church,6,2,,,,6,,,,4,6,1,Hotel location,$151-165 + tax,French Quarter
4680,Resurrection Lutheran Church,,11,,,1,3,,,,,7,,Hotel location,$151-165 + tax,Downtown
12529,Richland Lutheran Church,5,10,,1,,4,,,,,5,2,Hotel price,$140-150 + tax,Downtown
30987,River of Grace Lutheran Church,2,3,,,,2,,,,,4,,Hotel location,$166-185 + tax,Downtown
30914,River of Hope Lutheran Church,,,,1,2,,,,,,,,,,
2683,Salem Evangelical Lutheran Church,4,3,,,1,2,,,,,4,,Hotel location,$151-165 + tax,French Quarter
6007,Salem Evangelical Lutheran Church,4,3,,,2,1,,,,,5,,Hotel location,$151-165 + tax,French Quarter
2082,Salem Lutheran Church,2,2,,,,2,,,,,,,Hotel location,$151-165 + tax,Downtown
1668,Salem Lutheran Church,2,,,,1,1,,,,,1,1,Hotel location,$166-185 + tax,Downtown
3046,Salem Lutheran Church,,3,,,,3,,,,,2,,Hotel price,$140-150 + tax,Superdome
1977,Salem Lutheran Church,2,2,,,,2,,,,,3,,Accompaniment experience,$140-150 + tax,Downtown
10145,Salem Lutheran Church,3,3,,,,1,,,,,3,,Hotel location,$151-165 + tax,Downtown
11560,Salem Lutheran Church,3,2,,,1,2,,,,,4,,Hotel location,$151-165 + tax,Downtown
16121,Sammamish Hills Lutheran Church,2,2,,,,2,,,,,2,,Hotel location,$151-165 + tax,French Quarter
30826,San Gabriel Lutheran Church,5,13,,,1,4,,,23,,5,2,Hotel price,$140-150 + tax,Downtown
2843,Saron Lutheran Church,1,3,,,1,2,,,,,3,,Hotel location,$151-165 + tax,Superdome
30486,Seeds of Faith Lutheran Church,2,2,,,,2,,,,,4,3,Hotel location,$140-150 + tax,French Quarter
16138,Shalom Lutheran Church,,,,,,1,,,,,,,,,
12357,Sharon Lutheran Church,2,9,,,2,2,,,,,6,,Hotel location,$166-185 + tax,Superdome
90129,Shekinah Chapel,5,5,,,,1,,,11,,3,2,Hotel price,$140-150 + tax,Downtown
7517,Shepherd Of Life Lutheran Church,7,1,,1,2,1,,,,,4,,Hotel location,$166-185 + tax,Downtown
14404,Shepherd Of The Bay Lutheran Church,1,2,,,1,2,,,,,3,1,Hotel price,$140-150 + tax,Superdome
4986,Shepherd of the Hills Evangelical Lutheran Church,2,5,,,1,2,,,,,3,,Hotel location,$140-150 + tax,Superdome
16181,Shepherd Of The Hills Lutheran Church,4,1,,,1,1,,,,,,,,,
609,Shepherd Of The Hills Lutheran Church,3,2,,,2,1,,,,,3,,Accompaniment experience,$166-185 + tax,Downtown
3107,Shepherd Of The Hills Lutheran Church,1,4,,,,2,,,,,4,,Hotel location,$140-150 + tax,Superdome
16084,Shepherd Of The Hills Lutheran Church,3,12,,,1,3,,,,,4,,Hotel location,$151-165 + tax,Superdome
10717,Shepherd Of The Hills Lutheran Church,4,5,,,1,3,,,,,4,1,Hotel location,$166-185 + tax,French Quarter
7485,Shepherd Of The Hills Lutheran Church,8,10,,1,2,3,,,,,6,1,Hotel price,$140-150 + tax,Convention Center
30506,Shepherd of the Prairie Lutheran Church,1,1,,,1,1,,,,,,,,,
7420,Shepherd Of The Sea Lutheran Church,5,1,,,2,1,,,,,2,1,Hotel price,$140-150 + tax,Convention Center
5193,Shepherd Of The Valley Lutheran Church,,,,,1,,,,,,,,,,
13997,Shepherd Of The Valley Lutheran Church,1,2,,,1,1,,,,,,,,,
10153,Sheridan Lutheran Church,20,32,,,5,8,,,,,19,2,Hotel location,$166-185 + tax,Convention Center
14004,Sierra Evangelical Lutheran Church,2,2,,1,1,1,,,,,3,1,Hotel location,$166-185 + tax,Downtown
1260,Simeon United Lutheran Church Of Gratz,3,2,,,1,2,,,,,1,3,Hotel location,$166-185 + tax,French Quarter
3318,Sinai Lutheran Church,1,1,,,1,1,,,,,1,2,Hotel location,$166-185 + tax,Convention Center
13678,South Canyon Lutheran Church,7,6,,,2,2,,,,,,,,,
31154,Spirit Lutheran,3,3,,,1,2,,,,,4,,Hotel price,$151-165 + tax,French Quarter
30376,Spirit Of Joy Lutheran Church,,2,,,1,2,,,,,1,1,Hotel location,$151-165 + tax,Downtown
30937,Spirit Of Joy Lutheran Church,6,3,,,2,2,,,,,4,,Hotel location,$140-150 + tax,Superdome
684,St Andrew Lutheran Church,,2,,,1,2,,,,,,4,Hotel location,$166-185 + tax,French Quarter
10834,St Andrew Lutheran Church,1,,,,1,,,,,,1,,Hotel location,$166-185 + tax,Downtown
3273,St Andrew Lutheran Church,,4,,,,2,,,,,2,,Hotel location,$151-165 + tax,Convention Center
16120,St Andrew Lutheran Church,,2,,,1,1,,,,,2,2,Hotel location,$151-165 + tax,Downtown
7428,St Andrew Lutheran Church,1,3,,,,2,,,,,3,,Hotel location,$166-185 + tax,Downtown
13039,St Andrew Lutheran Church,2,1,,,2,2,,,,,3,,Hotel location,$151-165 + tax,Superdome
827,St Andrew Lutheran Church,4,8,,,1,2,,,,,5,1,Hotel location,$151-165 + tax,French Quarter
7406,St Andrew Lutheran Church,8,11,,,2,3,,,,,7,,Hotel location,$166-185 + tax,French Quarter
16312,St Andrew's Lutheran Church,1,3,,,1,1,,,,,2,,Accompaniment experience,$151-165 + tax,Superdome
5604,St Andrew's Lutheran Church,1,1,,,1,1,,,,,2,1,Hotel location,$166-185 + tax,Superdome
13971,St Andrew's Lutheran Church,5,6,,,2,1,,,1,,5,1,Hotel location,$140-150 + tax,Convention Center
5619,St David Lutheran Church,3,7,,,1,1,,,,,5,,Hotel location,$151-165 + tax,Convention Center
13055,St Jacob Lutheran Church,,3,,,,2,,,,,1,1,Accompaniment experience,$140-150 + tax,Downtown
4470,St Jacob Lutheran Church,,3,,1,,2,,,,,2,,Hotel price,$140-150 + tax,Downtown
2477,St James Lutheran Church,5,5,,,,2,,,,,,,,,
11857,St James Lutheran Church,1,3,,,1,1,,,,,2,1,Hotel location,$166-185 + tax,Superdome
4079,St James Lutheran Church,1,3,,,1,1,,,,,2,2,Hotel location,$166-185 + tax,Downtown
13705,St John American Lutheran Church,,4,,1,,2,,,1,,,,,,
10870,St John American Lutheran Church,4,5,,1,2,1,,,,,5,2,Accompaniment experience,$140-150 + tax,Downtown
1442,St John Evangelical Lutheran Church,2,1,,,2,3,,,,,,,,,
11331,St John Evangelical Lutheran Church,,1,,,1,2,,,,,,,,,
670,St John Lutheran Church,3,2,,,1,2,,,1,,,,,,
2118,St John Lutheran Church,8,7,,,,2,,,,,,,,,
10022,St John Lutheran Church,1,3,,,1,2,,,,,,,,,
13093,St John Lutheran Church,,,,,,1,,,,,,,,,
13558,St John Lutheran Church,1,3,,,2,1,,,,,,,,,
14347,St John Lutheran Church,2,5,,,,1,,,,,,,,,
2564,St John Lutheran Church,1,,,,1,1,,,,,1,,,,
6298,St John Lutheran Church,2,3,,,1,1,,,,,1,2,Hotel price,$140-150 + tax,Superdome
1004,St John Lutheran Church,1,2,,,1,1,,,,,2,,Hotel location,$151-165 + tax,Superdome
2479,St John Lutheran Church,4,2,,,,2,,,,,2,,Hotel location,$151-165 + tax,Downtown
12143,St John Lutheran Church,3,2,,,1,1,,,,,2,,Hotel location,$151-165 + tax,French Quarter
5136,St John Lutheran Church,,5,,,1,2,,,,,2,2,Hotel location,$166-185 + tax,French Quarter
4772,St John Lutheran Church,1,2,,,1,2,,,,,2,2,Hotel price,$151-165 + tax,Downtown
11183,St John Lutheran Church,6,2,,,2,2,,,,,2,3,Hotel location,$151-165 + tax,Downtown
4744,St John Lutheran Church,2,3,,,,3,,,,,3,,Accompaniment experience,$166-185 + tax,French Quarter
1509,St John Lutheran Church,5,1,,,1,2,,,,,3,,Hotel location,$151-165 + tax,Downtown
4672,St John Lutheran Church,2,2,,,1,,,,,,3,1,Accompaniment experience,$166-185 + tax,Convention Center
1078,St John Lutheran Church,2,7,,,1,3,,,,,3,2,Accompaniment experience,$166-185 + tax,Downtown
14433,St John Lutheran Church,3,8,,,1,1,,,,,3,2,Hotel location,$166-185 + tax,Downtown
5279,St John Lutheran Church,1,9,,,1,1,,,,,3,3,Hotel location,$166-185 + tax,Convention Center
14591,St John Lutheran Church,4,6,,,,3,,,,,4,,Accompaniment experience,$151-165 + tax,Superdome
14069,St John Lutheran Church,5,6,,,2,1,,,,,4,,Hotel location,$140-150 + tax,French Quarter
14392,St John Lutheran Church,2,2,,,1,1,,,,,4,,Hotel location,$166-185 + tax,Downtown
2462,St John Lutheran Church,3,5,,,2,2,,,,2,4,2,Accompaniment experience,$151-165 + tax,Superdome
11234,St John Lutheran Church,6,7,,,2,3,,,,,4,3,Hotel location,$151-165 + tax,Downtown
3288,St John Lutheran Church,3,6,,,1,2,,,,,5,,Hotel location,$166-185 + tax,Superdome
626,St John Lutheran Church,3,8,,,1,4,,,,,5,1,Hotel location,$166-185 + tax,French Quarter
2471,St John Lutheran Church,3,6,,,2,2,,,,,5,1,Hotel price,$151-165 + tax,Downtown
12395,St John Lutheran Church,7,9,,,,2,,,,2,5,2,Accompaniment experience,$151-165 + tax,Downtown
3183,St John Lutheran Church,8,16,,,2,4,,,,,6,6,Hotel location,$151-165 + tax,Convention Center
11412,St John Lutheran Church,1,9,,,4,3,,,,,7,,Accompaniment experience,$151-165 + tax,Downtown
1969,St John Lutheran Church,3,8,,1,5,3,,,,,8,,Hotel location,$166-185 + tax,Downtown
11160,St John Lutheran Church,12,9,,,2,7,,,,,12,,Hotel location,$151-165 + tax,French Quarter
13069,St John's Evangelical Lutheran Church,3,2,,,1,1,,,,,,,,,
14777,St John's Evangelical Lutheran Church,3,3,,,1,2,,,,,2,2,Hotel location,$166-185 + tax,Convention Center
13279,St John's Lutheran Church,,,,,,1,,,,,,,,,
2061,St John's Lutheran Church,3,,,,1,1,,,4,,1,1,Accompaniment experience,$166-185 + tax,French Quarter
7038,St John's Lutheran Church,3,1,,,,1,,,,,2,1,,,
5664,St John's Lutheran Church,1,3,,,1,2,,,,,2,3,Hotel location,$166-185 + tax,French Quarter
10460,St John's Lutheran Church,2,4,,,,2,,,,,3,,Hotel location,$151-165 + tax,Downtown
3471,St John's Lutheran Church,1,3,,,1,1,,,1,,4,,Hotel location,$151-165 + tax,Convention Center
4066,St John's Lutheran Church,5,7,,,2,2,,,,,4,2,Hotel price,$166-185 + tax,Superdome
14770,St John's Lutheran Church,4,5,,1,1,1,,,,,5,2,Hotel location,$166-185 + tax,French Quarter
14839,St John's Lutheran Church,1,5,,1,1,2,,,,,6,,Hotel location,$151-165 + tax,French Quarter
14668,St John's Lutheran Church,10,8,,,2,2,,,,,7,,Hotel location,$166-185 + tax,Superdome
4846,St John's Lutheran Church,4,10,,,1,6,,,1,,7,3,Hotel price,$151-165 + tax,Downtown
7389,St John-St Matthew-Emanuel Lutheran Church,7,2,,2,2,1,,,,,3,3,Hotel price,$140-150 + tax,Superdome
406,St Luke Lutheran Church,3,,,,1,,,,,,,,,,
14678,St Luke Lutheran Church,2,4,,,,2,,,,,,,,,
5950,St Luke Lutheran Church,3,3,,,1,2,,,,,1,3,Hotel location,$166-185 + tax,Superdome
16248,St Luke Lutheran Church,1,1,,,1,1,,,,,2,1,Hotel location,$166-185 + tax,Downtown
7537,St Luke Lutheran Church,3,4,,,1,3,,,,,3,1,Hotel location,$166-185 + tax,Superdome
7688,St Luke Lutheran Church,1,2,,,1,3,,,,,3,2,Hotel price,$166-185 + tax,French Quarter
12776,St Luke Lutheran Church,3,5,,,2,2,,,,,3,3,Hotel price,$140-150 + tax,Convention Center
3509,St Luke Lutheran Church,6,1,,,,2,,,,,4,,Hotel location,$151-165 + tax,Convention Center
5622,St Luke Lutheran Church,3,1,,,,1,,,,,4,,Hotel location,$166-185 + tax,Superdome
12943,St Luke Lutheran Church,4,5,,,,3,,,4,2,4,2,Hotel location,$166-185 + tax,Downtown
5691,St Luke Lutheran Church,3,6,,,2,2,,,,,5,,Hotel location,$166-185 + tax,Downtown
14729,St Luke's Lutheran Church,,,,,,1,,,,,,,,,
11392,St Luke's Lutheran Church,2,2,,,1,1,,,,,2,1,Hotel location,$166-185 + tax,Convention Center
6711,St Luke's Lutheran Church,5,5,,,2,2,,,,,6,,Hotel location,$166-185 + tax,Superdome
20042,St Mark Lutheran Church,,2,,,,1,,,,,1,1,Accompaniment experience,$166-185 + tax,Downtown
5024,St Mark Lutheran Church,,2,,,1,2,,,5,,2,,Hotel price,$140-150 + tax,French Quarter
5816,St Mark Lutheran Church,1,3,,,1,1,,,,,2,1,Hotel location,$151-165 + tax,Downtown
11393,St Mark Lutheran Church,2,2,,,1,2,,,,,3,1,Hotel location,$151-165 + tax,Convention Center
2524,St Mark Lutheran Church,6,,,1,1,3,,,,,3,2,Accompaniment experience,$151-165 + tax,Superdome
1108,St Mark Lutheran Church,3,1,,,2,2,,,,,4,,Accompaniment experience,$151-165 + tax,Downtown
4741,St Mark Lutheran Church,3,3,,,,2,,,,,4,,Hotel location,$140-150 + tax,Superdome
727,St Mark Lutheran Church,4,3,,,1,3,,,11,,5,,Accompaniment experience,$151-165 + tax,Downtown
2000,St Mark Lutheran Church,6,8,,2,,4,,,,,6,,Hotel location,$151-165 + tax,Downtown
1935,St Mark Lutheran Church,12,6,,,1,3,,,20,2,6,1,Hotel location,$140-150 + tax,
10571,St Mark Lutheran Church,9,9,,,1,2,,,,,7,,Hotel location,$151-165 + tax,Superdome
4053,St Mark Lutheran Church,6,8,,,2,2,,,,,9,,Hotel location,$166-185 + tax,Downtown
4212,St Mark's Lutheran Church,4,3,,1,1,2,,,,,3,3,Accompaniment experience,$151-165 + tax,Superdome
13029,St Mark's Lutheran Church By The Narrows,4,3,,,1,1,,,,,4,1,Hotel location,$151-165 + tax,Downtown
2679,St Martin Evangelical Lutheran Church,5,4,,,1,3,,,,,3,3,Hotel location,$166-185 + tax,French Quarter
11221,St Martin Lutheran Church,5,3,,,3,2,,,,2,4,6,Hotel location,$166-185 + tax,Downtown
14057,St Martin's Lutheran Church,7,1,,,1,2,,,,,3,,Hotel location,$151-165 + tax,Downtown
1482,St Matthew Evangelical Lutheran Church,2,4,,,5,4,,,,,3,4,Hotel location,$151-165 + tax,Downtown
3478,St Matthew Lutheran Church,,,,,1,,,,,,,,,,
1080,St Matthew Lutheran Church,1,4,,,1,2,,,,,2,1,Accompaniment experience,,
459,St Matthew Lutheran Church,2,2,,,1,1,,,,,2,2,Accompaniment experience,,French Quarter
4934,St Matthew Lutheran Church,3,2,,1,1,1,,,,,2,2,Accompaniment experience,$151-165 + tax,Downtown
830,St Matthew Lutheran Church,2,5,,,1,2,,,,,2,3,Hotel location,$151-165 + tax,Superdome
12121,St Matthew Lutheran Church,4,6,,,1,2,,,,,3,1,Hotel price,$140-150 + tax,Convention Center
5948,St Matthew Lutheran Church,4,8,,,2,1,,1,,,4,4,Hotel location,$166-185 + tax,Superdome
5674,St Matthew Lutheran Church,5,11,,,3,3,,,,,7,,Hotel location,$166-185 + tax,French Quarter
13248,St Matthew Lutheran Church,17,9,,,2,3,,,,,8,2,Accompaniment experience,,Downtown
5655,St Michael Lutheran Church,3,3,,,1,1,,,,,2,2,Hotel location,$151-165 + tax,Superdome
3748,St Michael Lutheran Church,5,1,,,2,1,,,,,4,,Hotel location,$166-185 + tax,Superdome
7606,St Michael Lutheran Church,7,6,,,1,1,,,,,7,,Hotel location,$151-165 + tax,Downtown
7747,St Michael Lutheran Church,5,9,,,1,3,,,,,7,,Hotel price,$140-150 + tax,Superdome
30166,St Nicholas Lutheran Church,1,2,,,1,1,,,,,3,1,Accompaniment experience,$166-185 + tax,French Quarter
11859,St Olaf Lutheran Church,4,3,,,,1,,,8,,3,,,,
12228,St Olaf Lutheran Church,1,4,,,1,1,,,,,3,1,Hotel location,$151-165 + tax,Convention Center
